GEO.id2,State,Density Per Square Mile
1,Alabama,94.4
2,Alaska,1.2
4,Arizona,56.3
5,Arkansas,56
6,California,239.1
8,Colorado,48.5
9,Connecticut,738.1
10,Delaware,460.8
11,District of Columbia,9856.5
12,Florida,350.6
13,Georgia,168.4
15,Hawaii,211.8
16,Idaho,19
17,Illinois,231.1
18,Indiana,181
19,Iowa,54.5
20,Kansas,34.9
21,Kentucky,109.9
22,Louisiana,104.9
23,Maine,43.1
24,Maryland,594.8
25,Massachusetts,839.4
26,Michigan,174.8
27,Minnesota,66.6
28,Mississippi,63.2
29,Missouri,87.1
30,Montana,6.8
31,Nebraska,23.8
32,Nevada,24.6
33,New Hampshire,147
34,New Jersey,1195.5
35,New Mexico,17
36,New York,411.2
37,North Carolina,196.1
38,North Dakota,9.7
39,Ohio,282.3
40,Oklahoma,54.7
41,Oregon,39.9
42,Pennsylvania,283.9
44,Rhode Island,1018.1
45,South Carolina,153.9
46,South Dakota,10.7
47,Tennessee,153.9
48,Texas,96.3
49,Utah,33.6
50,Vermont,67.9
51,Virginia,202.6
53,Washington,101.2
54,West Virginia,77.1
55,Wisconsin,105
56,Wyoming,5.8
